OperatorID,OperatorName,Operator_input,Operator_output,Operator_cudatime,Operator_cudatimenooverlap,InputSize,OutputSize,gpuid,stage,tpflag
1,aten::conv2d,[4; 6],[13],1278,1273,[19267584; 9408],[102760448],0,forward,1
2,aten::add_,[15; 17],[15],2,2,[1; 1],[1],0,forward,0
3,aten::batch_norm,[13; 20; 22; 24; 26],[33],962,962,[102760448; 64; 64; 64; 64],[102760448],0,forward,0
4,aten::relu_,[33],[33],268,268,[102760448],[102760448],0,forward,0
5,aten::max_pool2d,[33],[51],408,408,[102760448],[25690112],0,forward,0
6,aten::conv2d,[51; 55],[61],72,72,[25690112; 4096],[25690112],0,forward,1
7,aten::add_,[63; 65],[63],2,2,[1; 1],[1],0,forward,0
8,aten::batch_norm,[61; 68; 70; 72; 74],[81],245,245,[25690112; 64; 64; 64; 64],[25690112],0,forward,0
9,aten::relu_,[81],[81],67,67,[25690112],[25690112],0,forward,0
10,aten::conv2d,[81; 96],[91],308,299,[25690112; 36864],[25690112],0,forward,1
11,aten::add_,[103; 105],[103],1,1,[1; 1],[1],0,forward,0
12,aten::batch_norm,[91; 108; 110; 112; 114],[121],242,242,[25690112; 64; 64; 64; 64],[25690112],0,forward,0
13,aten::relu_,[121],[121],68,68,[25690112],[25690112],0,forward,0
14,aten::conv2d,[121; 136],[131],222,222,[25690112; 16384],[102760448],0,forward,1
15,aten::add_,[143; 145],[143],1,1,[1; 1],[1],0,forward,0
16,aten::batch_norm,[131; 148; 150; 152; 154],[161],492,492,[102760448; 256; 256; 256; 256],[102760448],0,forward,0
17,aten::conv2d,[51; 174],[180],224,224,[25690112; 16384],[102760448],0,forward,1
18,aten::add_,[182; 171],[182],1,1,[1; 1],[1],0,forward,0
19,aten::batch_norm,[180; 186; 188; 190; 192],[199],486,486,[102760448; 256; 256; 256; 256],[102760448],0,forward,0
20,aten::add_,[161; 199],[161],398,398,[102760448; 102760448],[102760448],0,forward,0
21,aten::relu_,[161],[161],270,270,[102760448],[102760448],0,forward,0
22,aten::conv2d,[161; 215],[209],178,178,[102760448; 16384],[25690112],0,forward,1
23,aten::add_,[222; 224],[222],1,1,[1; 1],[1],0,forward,0
24,aten::batch_norm,[209; 227; 229; 231; 233],[240],243,243,[25690112; 64; 64; 64; 64],[25690112],0,forward,0
25,aten::relu_,[240],[240],67,67,[25690112],[25690112],0,forward,0
26,aten::conv2d,[240; 255],[250],310,301,[25690112; 36864],[25690112],0,forward,1
27,aten::add_,[262; 264],[262],2,2,[1; 1],[1],0,forward,0
28,aten::batch_norm,[250; 267; 269; 271; 273],[280],244,244,[25690112; 64; 64; 64; 64],[25690112],0,forward,0
29,aten::relu_,[280],[280],67,67,[25690112],[25690112],0,forward,0
30,aten::conv2d,[280; 295],[290],224,224,[25690112; 16384],[102760448],0,forward,1
31,aten::add_,[301; 303],[301],1,1,[1; 1],[1],0,forward,0
32,aten::batch_norm,[290; 306; 308; 310; 312],[319],486,486,[102760448; 256; 256; 256; 256],[102760448],0,forward,0
33,aten::add_,[319; 161],[319],397,397,[102760448; 102760448],[102760448],0,forward,0
34,aten::relu_,[319],[319],270,270,[102760448],[102760448],0,forward,0
35,aten::conv2d,[319; 335],[329],178,178,[102760448; 16384],[25690112],0,forward,1
36,aten::add_,[342; 344],[342],1,1,[1; 1],[1],0,forward,0
37,aten::batch_norm,[329; 347; 349; 351; 353],[360],242,242,[25690112; 64; 64; 64; 64],[25690112],0,forward,0
38,aten::relu_,[360],[360],67,67,[25690112],[25690112],0,forward,0
39,aten::conv2d,[360; 375],[370],312,304,[25690112; 36864],[25690112],0,forward,1
40,aten::add_,[382; 384],[382],1,1,[1; 1],[1],0,forward,0
41,aten::batch_norm,[370; 387; 389; 391; 393],[400],242,242,[25690112; 64; 64; 64; 64],[25690112],0,forward,0
42,aten::relu_,[400],[400],68,68,[25690112],[25690112],0,forward,0
43,aten::conv2d,[400; 415],[421],223,223,[25690112; 16384],[102760448],0,forward,1
44,aten::add_,[423; 425],[423],1,1,[1; 1],[1],0,forward,0
45,aten::batch_norm,[421; 428; 430; 432; 434],[441],489,489,[102760448; 256; 256; 256; 256],[102760448],0,forward,0
46,aten::add_,[441; 319],[441],397,397,[102760448; 102760448],[102760448],0,forward,0
47,aten::relu_,[441],[441],269,269,[102760448],[102760448],0,forward,0
48,aten::conv2d,[441; 458],[464],242,242,[102760448; 32768],[51380224],0,forward,1
49,aten::add_,[466; 468],[466],2,2,[1; 1],[1],0,forward,0
50,aten::batch_norm,[464; 471; 473; 475; 477],[484],299,299,[51380224; 128; 128; 128; 128],[51380224],0,forward,0
51,aten::relu_,[484],[484],135,135,[51380224],[51380224],0,forward,0
52,aten::conv2d,[484; 500],[506],298,289,[51380224; 147456],[12845056],0,forward,1
53,aten::add_,[508; 510],[508],2,2,[1; 1],[1],0,forward,0
54,aten::batch_norm,[506; 513; 515; 517; 519],[526],77,77,[12845056; 128; 128; 128; 128],[12845056],0,forward,0
55,aten::relu_,[526],[526],34,34,[12845056],[12845056],0,forward,0
56,aten::conv2d,[526; 542],[548],99,99,[12845056; 65536],[51380224],0,forward,1
57,aten::add_,[550; 552],[550],1,1,[1; 1],[1],0,forward,0
58,aten::batch_norm,[548; 555; 557; 559; 561],[568],239,239,[51380224; 512; 512; 512; 512],[51380224],0,forward,0
59,aten::conv2d,[441; 582],[588],473,468,[102760448; 131072],[51380224],0,forward,1
60,aten::add_,[590; 592],[590],2,2,[1; 1],[1],0,forward,0
61,aten::batch_norm,[588; 595; 597; 599; 601],[608],239,239,[51380224; 512; 512; 512; 512],[51380224],0,forward,0
62,aten::add_,[568; 608],[568],198,198,[51380224; 51380224],[51380224],0,forward,0
63,aten::relu_,[568],[568],137,137,[51380224],[51380224],0,forward,0
64,aten::conv2d,[568; 625],[631],98,98,[51380224; 65536],[12845056],0,forward,1
65,aten::add_,[633; 635],[633],2,2,[1; 1],[1],0,forward,0
66,aten::batch_norm,[631; 638; 640; 642; 644],[651],76,76,[12845056; 128; 128; 128; 128],[12845056],0,forward,0
67,aten::relu_,[651],[651],34,34,[12845056],[12845056],0,forward,0
68,aten::conv2d,[651; 666],[672],178,169,[12845056; 147456],[12845056],0,forward,1
69,aten::add_,[674; 676],[674],1,1,[1; 1],[1],0,forward,0
70,aten::batch_norm,[672; 679; 681; 683; 685],[692],76,76,[12845056; 128; 128; 128; 128],[12845056],0,forward,0
71,aten::relu_,[692],[692],33,33,[12845056],[12845056],0,forward,0
72,aten::conv2d,[692; 706],[712],98,98,[12845056; 65536],[51380224],0,forward,1
73,aten::add_,[714; 716],[714],2,2,[1; 1],[1],0,forward,0
74,aten::batch_norm,[712; 719; 721; 723; 725],[732],241,241,[51380224; 512; 512; 512; 512],[51380224],0,forward,0
75,aten::add_,[732; 568],[732],199,199,[51380224; 51380224],[51380224],0,forward,0
76,aten::relu_,[732],[732],135,135,[51380224],[51380224],0,forward,0
77,aten::conv2d,[732; 749],[755],99,99,[51380224; 65536],[12845056],0,forward,1
78,aten::add_,[757; 759],[757],2,2,[1; 1],[1],0,forward,0
79,aten::batch_norm,[755; 762; 764; 766; 768],[775],75,75,[12845056; 128; 128; 128; 128],[12845056],0,forward,0
80,aten::relu_,[775],[775],33,33,[12845056],[12845056],0,forward,0
81,aten::conv2d,[775; 790],[785],180,171,[12845056; 147456],[12845056],0,forward,1
82,aten::add_,[797; 799],[797],2,2,[1; 1],[1],0,forward,0
83,aten::batch_norm,[785; 802; 804; 806; 808],[815],77,77,[12845056; 128; 128; 128; 128],[12845056],0,forward,0
84,aten::relu_,[815],[815],33,33,[12845056],[12845056],0,forward,0
85,aten::conv2d,[815; 830],[825],99,99,[12845056; 65536],[51380224],0,forward,1
86,aten::add_,[837; 839],[837],1,1,[1; 1],[1],0,forward,0
87,aten::batch_norm,[825; 842; 844; 846; 848],[855],241,241,[51380224; 512; 512; 512; 512],[51380224],0,forward,0
88,aten::add_,[855; 732],[855],198,198,[51380224; 51380224],[51380224],0,forward,0
89,aten::relu_,[855],[855],137,137,[51380224],[51380224],0,forward,0
90,aten::conv2d,[855; 871],[865],97,97,[51380224; 65536],[12845056],0,forward,1
91,aten::add_,[878; 880],[878],2,2,[1; 1],[1],0,forward,0
92,aten::batch_norm,[865; 883; 885; 887; 889],[896],75,75,[12845056; 128; 128; 128; 128],[12845056],0,forward,0
93,aten::relu_,[896],[896],33,33,[12845056],[12845056],0,forward,0
94,aten::conv2d,[896; 911],[906],178,170,[12845056; 147456],[12845056],0,forward,1
95,aten::add_,[918; 920],[918],2,2,[1; 1],[1],0,forward,0
96,aten::batch_norm,[906; 923; 925; 927; 929],[936],76,76,[12845056; 128; 128; 128; 128],[12845056],0,forward,0
97,aten::relu_,[936],[936],33,33,[12845056],[12845056],0,forward,0
98,aten::conv2d,[936; 951],[946],100,100,[12845056; 65536],[51380224],0,forward,1
99,aten::add_,[958; 960],[958],1,1,[1; 1],[1],0,forward,0
100,aten::batch_norm,[946; 963; 965; 967; 969],[976],237,237,[51380224; 512; 512; 512; 512],[51380224],0,forward,0
101,aten::add_,[976; 855],[976],199,199,[51380224; 51380224],[51380224],0,forward,0
102,aten::relu_,[976],[976],136,136,[51380224],[51380224],0,forward,0
103,aten::conv2d,[976; 992],[986],124,124,[51380224; 131072],[25690112],0,forward,1
104,aten::add_,[999; 1001],[999],2,2,[1; 1],[1],0,forward,0
105,aten::batch_norm,[986; 1004; 1006; 1008; 1010],[1017],122,122,[25690112; 256; 256; 256; 256],[25690112],0,forward,0
106,aten::relu_,[1017],[1017],67,67,[25690112],[25690112],0,forward,0
107,aten::conv2d,[1017; 1032],[1027],184,175,[25690112; 589824],[6422528],0,forward,1
108,aten::add_,[1039; 1041],[1039],2,2,[1; 1],[1],0,forward,0
109,aten::batch_norm,[1027; 1044; 1046; 1048; 1050],[1057],31,31,[6422528; 256; 256; 256; 256],[6422528],0,forward,0
110,aten::relu_,[1057],[1057],12,12,[6422528],[6422528],0,forward,0
111,aten::conv2d,[1057; 1072],[1067],110,110,[6422528; 262144],[25690112],0,forward,1
112,aten::add_,[1079; 1081],[1079],2,2,[1; 1],[1],0,forward,0
113,aten::batch_norm,[1067; 1084; 1086; 1088; 1090],[1097],116,116,[25690112; 1024; 1024; 1024; 1024],[25690112],0,forward,0
114,aten::conv2d,[976; 1110],[1116],301,295,[51380224; 524288],[25690112],0,forward,1
115,aten::add_,[1118; 1107],[1118],2,2,[1; 1],[1],0,forward,0
116,aten::batch_norm,[1116; 1122; 1124; 1126; 1128],[1135],114,114,[25690112; 1024; 1024; 1024; 1024],[25690112],0,forward,0
117,aten::add_,[1097; 1135],[1097],100,100,[25690112; 25690112],[25690112],0,forward,0
118,aten::relu_,[1097],[1097],68,68,[25690112],[25690112],0,forward,0
119,aten::conv2d,[1097; 1151],[1145],90,90,[25690112; 262144],[6422528],0,forward,1
120,aten::add_,[1158; 1160],[1158],1,1,[1; 1],[1],0,forward,0
121,aten::batch_norm,[1145; 1163; 1165; 1167; 1169],[1176],29,29,[6422528; 256; 256; 256; 256],[6422528],0,forward,0
122,aten::relu_,[1176],[1176],12,12,[6422528],[6422528],0,forward,0
123,aten::conv2d,[1176; 1191],[1186],124,115,[6422528; 589824],[6422528],0,forward,1
124,aten::add_,[1197; 1199],[1197],1,1,[1; 1],[1],0,forward,0
125,aten::batch_norm,[1186; 1202; 1204; 1206; 1208],[1215],31,31,[6422528; 256; 256; 256; 256],[6422528],0,forward,0
126,aten::relu_,[1215],[1215],12,12,[6422528],[6422528],0,forward,0
127,aten::conv2d,[1215; 1230],[1225],111,111,[6422528; 262144],[25690112],0,forward,1
128,aten::add_,[1237; 1239],[1237],2,2,[1; 1],[1],0,forward,0
129,aten::batch_norm,[1225; 1242; 1244; 1246; 1248],[1255],115,115,[25690112; 1024; 1024; 1024; 1024],[25690112],0,forward,0
130,aten::add_,[1255; 1097],[1255],99,99,[25690112; 25690112],[25690112],0,forward,0
131,aten::relu_,[1255],[1255],69,69,[25690112],[25690112],0,forward,0
132,aten::conv2d,[1255; 1271],[1265],88,88,[25690112; 262144],[6422528],0,forward,1
133,aten::add_,[1278; 1280],[1278],1,1,[1; 1],[1],0,forward,0
134,aten::batch_norm,[1265; 1283; 1285; 1287; 1289],[1296],29,29,[6422528; 256; 256; 256; 256],[6422528],0,forward,0
135,aten::relu_,[1296],[1296],12,12,[6422528],[6422528],0,forward,0
136,aten::conv2d,[1296; 1311],[1306],122,114,[6422528; 589824],[6422528],0,forward,1
137,aten::add_,[1318; 1320],[1318],1,1,[1; 1],[1],0,forward,0
138,aten::batch_norm,[1306; 1323; 1325; 1327; 1329],[1336],30,30,[6422528; 256; 256; 256; 256],[6422528],0,forward,0
139,aten::relu_,[1336],[1336],11,11,[6422528],[6422528],0,forward,0
140,aten::conv2d,[1336; 1351],[1346],111,111,[6422528; 262144],[25690112],0,forward,1
141,aten::add_,[1358; 1360],[1358],1,1,[1; 1],[1],0,forward,0
142,aten::batch_norm,[1346; 1363; 1365; 1367; 1369],[1376],116,116,[25690112; 1024; 1024; 1024; 1024],[25690112],0,forward,0
143,aten::add_,[1376; 1255],[1376],98,98,[25690112; 25690112],[25690112],0,forward,0
144,aten::relu_,[1376],[1376],69,69,[25690112],[25690112],0,forward,0
145,aten::conv2d,[1376; 1392],[1386],92,92,[25690112; 262144],[6422528],0,forward,1
146,aten::add_,[1399; 1401],[1399],1,1,[1; 1],[1],0,forward,0
