Index,TensorID,TensorShape,TensorNumElement,TensorEachByte,TensorType,TensorStorgeid,gpuid
0,4,"[128, 3, 224, 224]",19267584,4,input,5,0
1,6,"[64, 3, 3, 3]",1728,4,weight,7,0
2,8,[64],64,4,bias=None,9,0
3,14,"[128, 64, 224, 224]",411041792,4,output,15,0
4,14,"[128, 64, 224, 224]",411041792,4,input,15,0
5,14,"[128, 64, 224, 224]",411041792,4,output,15,0
6,14,"[128, 64, 224, 224]",411041792,4,input,15,0
7,22,"[64, 64, 3, 3]",36864,4,weight,23,0
8,24,[64],64,4,bias=None,25,0
9,30,"[128, 64, 224, 224]",411041792,4,output,31,0
10,30,"[128, 64, 224, 224]",411041792,4,input,31,0
11,30,"[128, 64, 224, 224]",411041792,4,output,31,0
12,30,"[128, 64, 224, 224]",411041792,4,input,31,0
13,40,"[128, 64, 112, 112]",102760448,4,output,41,0
14,40,"[128, 64, 112, 112]",102760448,4,input,41,0
15,44,"[128, 64, 3, 3]",73728,4,weight,45,0
16,46,[128],128,4,bias=None,47,0
17,52,"[128, 128, 112, 112]",205520896,4,output,53,0
18,52,"[128, 128, 112, 112]",205520896,4,input,53,0
19,52,"[128, 128, 112, 112]",205520896,4,output,53,0
20,52,"[128, 128, 112, 112]",205520896,4,input,53,0
21,60,"[128, 128, 3, 3]",147456,4,weight,61,0
22,62,[128],128,4,bias=None,63,0
23,68,"[128, 128, 112, 112]",205520896,4,output,69,0
24,68,"[128, 128, 112, 112]",205520896,4,input,69,0
25,68,"[128, 128, 112, 112]",205520896,4,output,69,0
26,68,"[128, 128, 112, 112]",205520896,4,input,69,0
27,78,"[128, 128, 56, 56]",51380224,4,output,79,0
28,78,"[128, 128, 56, 56]",51380224,4,input,79,0
29,82,"[256, 128, 3, 3]",294912,4,weight,83,0
30,84,[256],256,4,bias=None,85,0
31,90,"[128, 256, 56, 56]",102760448,4,output,91,0
32,90,"[128, 256, 56, 56]",102760448,4,input,91,0
33,90,"[128, 256, 56, 56]",102760448,4,output,91,0
34,90,"[128, 256, 56, 56]",102760448,4,input,91,0
35,98,"[256, 256, 3, 3]",589824,4,weight,99,0
36,100,[256],256,4,bias=None,101,0
37,106,"[128, 256, 56, 56]",102760448,4,output,107,0
38,106,"[128, 256, 56, 56]",102760448,4,input,107,0
39,106,"[128, 256, 56, 56]",102760448,4,output,107,0
40,106,"[128, 256, 56, 56]",102760448,4,input,107,0
41,116,"[128, 256, 28, 28]",25690112,4,output,117,0
42,116,"[128, 256, 28, 28]",25690112,4,input,117,0
43,120,"[512, 256, 3, 3]",1179648,4,weight,121,0
44,122,[512],512,4,bias=None,123,0
45,128,"[128, 512, 28, 28]",51380224,4,output,129,0
46,128,"[128, 512, 28, 28]",51380224,4,input,129,0
47,128,"[128, 512, 28, 28]",51380224,4,output,129,0
48,128,"[128, 512, 28, 28]",51380224,4,input,129,0
49,136,"[512, 512, 3, 3]",2359296,4,weight,137,0
50,138,[512],512,4,bias=None,139,0
51,144,"[128, 512, 28, 28]",51380224,4,output,145,0
52,144,"[128, 512, 28, 28]",51380224,4,input,145,0
53,144,"[128, 512, 28, 28]",51380224,4,output,145,0
54,144,"[128, 512, 28, 28]",51380224,4,input,145,0
55,154,"[128, 512, 14, 14]",12845056,4,output,155,0
56,154,"[128, 512, 14, 14]",12845056,4,input,155,0
57,158,"[512, 512, 3, 3]",2359296,4,weight,159,0
58,160,[512],512,4,bias=None,161,0
59,166,"[128, 512, 14, 14]",12845056,4,output,167,0
60,166,"[128, 512, 14, 14]",12845056,4,input,167,0
61,166,"[128, 512, 14, 14]",12845056,4,output,167,0
62,166,"[128, 512, 14, 14]",12845056,4,input,167,0
63,174,"[512, 512, 3, 3]",2359296,4,weight,175,0
64,176,[512],512,4,bias=None,177,0
65,182,"[128, 512, 14, 14]",12845056,4,output,183,0
66,182,"[128, 512, 14, 14]",12845056,4,input,183,0
67,182,"[128, 512, 14, 14]",12845056,4,output,183,0
68,182,"[128, 512, 14, 14]",12845056,4,input,183,0
69,192,"[128, 512, 7, 7]",3211264,4,output,193,0
70,192,"[128, 512, 7, 7]",3211264,4,input,193,0
71,199,"[128, 512, 7, 7]",3211264,4,output,202,0
72,199,"[128, 512, 7, 7]",3211264,4,input,202,0
73,205,"[128, 25088]",3211264,4,output,202,0
74,205,"[128, 25088]",3211264,4,input,202,0
75,206,"[4096, 25088]",102760448,4,weight,207,0
76,208,[4096],4096,4,bias=None,209,0
77,216,"[128, 4096]",524288,4,output,217,0
78,216,"[128, 4096]",524288,4,input,217,0
79,216,"[128, 4096]",524288,4,output,217,0
80,216,"[128, 4096]",524288,4,input,217,0
81,228,"[128, 4096]",524288,4,output,229,0
82,228,"[128, 4096]",524288,4,input,229,0
83,230,"[4096, 4096]",16777216,4,weight,231,0
