OperatorID,OperatorName,Operator_input,Operator_output,Operator_cudatime,Operator_cudatimenooverlap,InputSize,OutputSize,gpuid,stage,tpflag
1,aten::conv2d,[4; 6; 8],[14],2673,2671,[19267584; 1728; 64],[411041792],0,forward,1
2,aten::relu_,[14],[14],1083,1083,[411041792],[411041792],0,forward,0
3,aten::conv2d,[14; 22; 24],[30],5901,5892,[411041792; 36864; 64],[411041792],0,forward,1
4,aten::relu_,[30],[30],1081,1081,[411041792],[411041792],0,forward,0
5,aten::max_pool2d,[30],[40],1236,1236,[411041792],[102760448],0,forward,0
6,aten::conv2d,[40; 44; 46],[52],2218,2213,[102760448; 73728; 128],[205520896],0,forward,1
7,aten::relu_,[52],[52],540,540,[205520896],[205520896],0,forward,0
8,aten::conv2d,[52; 60; 62],[68],3060,3048,[205520896; 147456; 128],[205520896],0,forward,1
9,aten::relu_,[68],[68],541,541,[205520896],[205520896],0,forward,0
10,aten::max_pool2d,[68],[78],625,625,[205520896],[51380224],0,forward,0
11,aten::conv2d,[78; 82; 84],[90],1414,1403,[51380224; 294912; 256],[102760448],0,forward,1
12,aten::relu_,[90],[90],270,270,[102760448],[102760448],0,forward,0
13,aten::conv2d,[90; 98; 100],[106],2001,1990,[102760448; 589824; 256],[102760448],0,forward,1
14,aten::relu_,[106],[106],272,272,[102760448],[102760448],0,forward,0
15,aten::max_pool2d,[106],[116],315,315,[102760448],[25690112],0,forward,0
16,aten::conv2d,[116; 120; 122],[128],943,931,[25690112; 1179648; 512],[51380224],0,forward,1
17,aten::relu_,[128],[128],137,137,[51380224],[51380224],0,forward,0
18,aten::conv2d,[128; 136; 138],[144],1512,1503,[51380224; 2359296; 512],[51380224],0,forward,1
19,aten::relu_,[144],[144],138,138,[51380224],[51380224],0,forward,0
20,aten::max_pool2d,[144],[154],159,159,[51380224],[12845056],0,forward,0
21,aten::conv2d,[154; 158; 160],[166],406,395,[12845056; 2359296; 512],[12845056],0,forward,1
22,aten::relu_,[166],[166],36,36,[12845056],[12845056],0,forward,0
23,aten::conv2d,[166; 174; 176],[182],410,398,[12845056; 2359296; 512],[12845056],0,forward,1
24,aten::relu_,[182],[182],35,35,[12845056],[12845056],0,forward,0
25,aten::max_pool2d,[182],[192],41,41,[12845056],[3211264],0,forward,0
26,aten::adaptive_avg_pool2d,[192],[199],174,174,[3211264],[3211264],0,forward,0
28,aten::linear,[205; 206; 208],[216],707,707,[3211264; 102760448; 4096],[524288],0,forward,1
29,aten::relu_,[216],[216],2,2,[524288],[524288],0,forward,0
30,aten::dropout,[216],[228],3,3,[524288],[524288],0,forward,0
31,aten::linear,[228; 230; 232],[240],166,166,[524288; 16777216; 4096],[524288],0,forward,1
32,aten::relu_,[240],[240],2,2,[524288],[524288],0,forward,0
33,aten::dropout,[240],[252],3,3,[524288],[524288],0,forward,0
34,aten::linear,[252; 254; 256],[264],91,88,[524288; 4096000; 1000],[128000],0,forward,1
35,aten::cross_entropy_loss,[264; 266],[281],8,6,[128000; 128],[1],0,forward,0
36,aten::ones_like,[281],[286],1,1,[1],[1],0,forward,0
37,autograd::engine::evaluate_function: NllLossBackward0,[286; 272; 266; 276; 278],[293],4,3,[1; 128000; 128; 0; 1],[128000],0,backward,0
38,autograd::engine::evaluate_function: LogSoftmaxBackward0,[293; 299],[301],3,3,[128000; 128000],[128000],0,backward,0
39,autograd::engine::evaluate_function: AddmmBackward0,[262],[308],74,67,[4096000],[4096000],0,backward,1
43,autograd::engine::evaluate_function: NativeDropoutBackward0,[310; 248],[349],2,2,[524288; 524288],[524288],0,backward,0
44,autograd::engine::evaluate_function: ReluBackward0,[349; 352],[354],3,3,[524288; 524288],[524288],0,backward,0
45,autograd::engine::evaluate_function: AddmmBackward0,[238],[360],217,211,[16777216],[16777216],0,backward,1
49,autograd::engine::evaluate_function: NativeDropoutBackward0,[362; 224],[401],3,3,[524288; 524288],[524288],0,backward,0
50,autograd::engine::evaluate_function: ReluBackward0,[401; 404],[406],3,3,[524288; 524288],[524288],0,backward,0
51,autograd::engine::evaluate_function: AddmmBackward0,[214],[412],1196,1190,[102760448],[102760448],0,backward,1
56,autograd::engine::evaluate_function: AdaptiveAvgPool2DBackward0,[452; 192],[459],186,185,[3211264; 3211264],[3211264],0,backward,0
57,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,[459; 182; 194],[466],181,179,[3211264; 12845056; 3211264],[12845056],0,backward,0
58,autograd::engine::evaluate_function: ReluBackward0,[466; 472],[474],50,50,[12845056; 12845056],[12845056],0,backward,0
59,autograd::engine::evaluate_function: ConvolutionBackward0,[474; 166; 174],[487; 481; 484],1055,1035,[12845056; 12845056; 2359296],[12845056; 2359296; 512],0,backward,1
62,autograd::engine::evaluate_function: ReluBackward0,[487; 486],[501],45,45,[12845056; 12845056],[12845056],0,backward,0
63,autograd::engine::evaluate_function: ConvolutionBackward0,[501; 154; 158],[514; 507; 510],1058,1037,[12845056; 12845056; 2359296],[12845056; 2359296; 512],0,backward,1
66,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,[514; 144; 156],[513],652,649,[12845056; 51380224; 12845056],[51380224],0,backward,0
67,autograd::engine::evaluate_function: ReluBackward0,[513; 532],[534],199,199,[51380224; 51380224],[51380224],0,backward,0
68,autograd::engine::evaluate_function: ConvolutionBackward0,[534; 128; 136],[547; 541; 543],3887,3865,[51380224; 51380224; 2359296],[51380224; 2359296; 512],0,backward,1
71,autograd::engine::evaluate_function: ReluBackward0,[547; 546],[561],193,193,[51380224; 51380224],[51380224],0,backward,0
72,autograd::engine::evaluate_function: ConvolutionBackward0,[561; 116; 120],[573; 567; 569],2477,2456,[51380224; 25690112; 1179648],[25690112; 1179648; 512],0,backward,1
75,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,[573; 106; 118],[572],1239,1236,[25690112; 102760448; 25690112],[102760448],0,backward,0
76,autograd::engine::evaluate_function: ReluBackward0,[572; 591],[593],397,397,[102760448; 102760448],[102760448],0,backward,0
77,autograd::engine::evaluate_function: ConvolutionBackward0,[593; 90; 98],[606; 599; 602],5042,5022,[102760448; 102760448; 589824],[102760448; 589824; 256],0,backward,1
80,autograd::engine::evaluate_function: ReluBackward0,[606; 605],[620],391,391,[102760448; 102760448],[102760448],0,backward,0
81,autograd::engine::evaluate_function: ConvolutionBackward0,[620; 78; 82],[632; 626; 628],2856,2834,[102760448; 51380224; 294912],[51380224; 294912; 256],0,backward,1
84,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,[632; 68; 80],[631],2452,2449,[51380224; 205520896; 51380224],[205520896],0,backward,0
85,autograd::engine::evaluate_function: ReluBackward0,[631; 650],[652],794,794,[205520896; 205520896],[205520896],0,backward,0
86,autograd::engine::evaluate_function: ConvolutionBackward0,[652; 52; 60],[665; 659; 661],8468,8438,[205520896; 205520896; 147456],[205520896; 147456; 128],0,backward,1
89,autograd::engine::evaluate_function: ReluBackward0,[665; 664],[679],788,788,[205520896; 205520896],[205520896],0,backward,0
90,autograd::engine::evaluate_function: ConvolutionBackward0,[679; 40; 44],[692; 685; 688],4704,4687,[205520896; 102760448; 73728],[102760448; 73728; 128],0,backward,1
93,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,[692; 30; 42],[691],4943,4941,[102760448; 411041792; 102760448],[411041792],0,backward,0
94,autograd::engine::evaluate_function: ReluBackward0,[691; 711],[713],1586,1586,[411041792; 411041792],[411041792],0,backward,0
95,autograd::engine::evaluate_function: ConvolutionBackward0,[713; 14; 22],[726; 720; 722],13751,13727,[411041792; 411041792; 36864],[411041792; 36864; 64],0,backward,1
98,autograd::engine::evaluate_function: ReluBackward0,[726; 725],[740],1580,1580,[411041792; 411041792],[411041792],0,backward,0
99,autograd::engine::evaluate_function: ConvolutionBackward0,[740; 4; 6],[276; 746; 749],2123,2117,[411041792; 19267584; 1728],[0; 1728; 64],0,backward,1
103,aten::_foreach_lerp_,[1077; 1079; 1081; 1083; 1085; 1087; 1089; 1091; 1093; 1095; 1097; 1099; 1101; 1103; 1105; 1107; 1109; 1111; 1113; 1115; 1117; 1119; 1121; 1123; 1125; 1127; 757; 762; 731; 736; 697; 702; 670; 675; 637; 642; 611; 616; 578; 583; 552; 557; 519; 524; 492; 497; 447; 436; 395; 384; 343; 332],[],575,562,[1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000; 1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000],[],0,optimizer,0
104,aten::_foreach_mul_,[1130; 1132; 1134; 1136; 1138; 1140; 1142; 1144; 1146; 1148; 1150; 1152; 1154; 1156; 1158; 1160; 1162; 1164; 1166; 1168; 1170; 1172; 1174; 1176; 1178; 1180],[],410,396,[1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000],[],0,optimizer,0
105,aten::_foreach_addcmul_,[1130; 1132; 1134; 1136; 1138; 1140; 1142; 1144; 1146; 1148; 1150; 1152; 1154; 1156; 1158; 1160; 1162; 1164; 1166; 1168; 1170; 1172; 1174; 1176; 1178; 1180; 757; 762; 731; 736; 697; 702; 670; 675; 637; 642; 611; 616; 578; 583; 552; 557; 519; 524; 492; 497; 447; 436; 395; 384; 343; 332; 757; 762; 731; 736; 697; 702; 670; 675; 637; 642; 611; 616; 578; 583; 552; 557; 519; 524; 492; 497; 447; 436; 395; 384; 343; 332],[],600,587,[1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000; 1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000; 1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000],[],0,optimizer,0
158,aten::_foreach_sqrt,[1130; 1132; 1134; 1136; 1138; 1140; 1142; 1144; 1146; 1148; 1150; 1152; 1154; 1156; 1158; 1160; 1162; 1164; 1166; 1168; 1170; 1172; 1174; 1176; 1178; 1180],[1342; 1345; 1347; 1350; 1353; 1356; 1359; 1362; 1365; 1368; 1371; 1373; 1376; 1379; 1382; 1384; 1387; 1390; 1393; 1396; 1399; 1401; 1404; 1406; 1409; 1411],419,408,[1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000],[1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000],0,optimizer,0
159,aten::_foreach_div_,[1342; 1345; 1347; 1350; 1353; 1356; 1359; 1362; 1365; 1368; 1371; 1373; 1376; 1379; 1382; 1384; 1387; 1390; 1393; 1396; 1399; 1401; 1404; 1406; 1409; 1411],[],455,442,[1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000],[],0,optimizer,0
160,aten::_foreach_add_,[1342; 1345; 1347; 1350; 1353; 1356; 1359; 1362; 1365; 1368; 1371; 1373; 1376; 1379; 1382; 1384; 1387; 1390; 1393; 1396; 1399; 1401; 1404; 1406; 1409; 1411],[],413,399,[1728; 64; 36864; 64; 73728; 128; 147456; 128; 294912; 256; 589824; 256; 1179648; 512; 2359296; 512; 2359296; 512; 2359296; 512; 102760448; 4096; 16777216; 4096; 4096000; 1000],[],0,optimizer,0
